message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.743819])";"30";"turtlesim1.sim";"1759221798.925749235";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.751511, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.873548932";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.747904])";"30";"turtlesim1.sim";"1759221798.863529655";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.750397, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.818631212";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.751989])";"30";"turtlesim1.sim";"1759221798.816585553";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.756073])";"30";"turtlesim1.sim";"1759221798.787073737";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.749284, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.773570162";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.760158])";"30";"turtlesim1.sim";"1759221798.724083257";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.748171, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.722543776";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.764243])";"30";"turtlesim1.sim";"1759221798.664374116";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.747057, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.649714690";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.768328])";"30";"turtlesim1.sim";"1759221798.608215412";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.745944, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.599526607";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.744831, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.558157142";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.772413])";"30";"turtlesim1.sim";"1759221798.552236116";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.743718, y=-0.031981])";"30";"turtlesim3.sim";"1759221798.512667128";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120627, y=4.776498])";"30";"turtlesim1.sim";"1759221798.507762472";"./src/turtle.cpp:update:288"
